,person_id,full_name,given_name,last_name,gender,graduate_degree,mfa_degree,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,elite_1,elite_2,elite_3,award
26,477.0,Daniel Stern,Daniel,Stern,male,0,no mfa,winner,American Academy of Arts and Letters,Rosenthal Family Foundation Award,1990.0,prose,book,10000.0,,,,1.0
27,786.0,Gary Snyder,Gary,Snyder,male,0,no mfa,winner,Columbia University,Pulitzer Prize,1975.0,poetry,book,15000.0,,,,1.0
28,643.0,Edwin Arlington Robinson,Edwin Arlington,Robinson,male,0,no mfa,winner,Columbia University,Pulitzer Prize,1928.0,poetry,book,15000.0,Harvard University,,,1.0
29,569.0,Denis Johnson,Denis,Johnson,male,1,University of Iowa,winner,National Book Foundation,National Book Award,2007.0,prose,book,10000.0,,,,1.0
30,2396.0,W. S. Merwin,W. S.,Merwin,male,0,no mfa,winner,Academy of American Poets,Lenore Marshall Poetry Prize,1994.0,poetry,book,25000.0,Princeton University,,,1.0
31,2381.0,William Stafford,William,Stafford,male,1,no mfa,winner,National Book Foundation,National Book Award,1963.0,poetry,book,10000.0,,,,1.0
32,1300.0,Keith Waldrop,Keith,Waldrop,male,1,no mfa,winner,National Book Foundation,National Book Award,2009.0,poetry,book,10000.0,,,,1.0
33,1789.0,Paul Harding,Paul,Harding,male,1,University of Iowa,winner,Columbia University,Pulitzer Prize,2010.0,prose,book,15000.0,,,,1.0
34,1789.0,Paul Harding,Paul,Harding,male,1,University of Iowa,winner,PEN America,Robert W. Bingham Prize for Debut Short Story Collection,2010.0,prose,book,25000.0,,,,1.0
35,1962.0,Robert Hass,Robert,Hass,male,1,no mfa,winner,National Book Foundation,National Book Award,2007.0,poetry,book,10000.0,Stanford University,,,1.0
36,1962.0,Robert Hass,Robert,Hass,male,1,no mfa,winner,Columbia University,Pulitzer Prize,2008.0,poetry,book,15000.0,Stanford University,,,1.0
37,1192.0,Jonathan Strong,Jonathan,Strong,male,0,no mfa,winner,American Academy of Arts and Letters,Rosenthal Family Foundation Award,1970.0,prose,book,10000.0,Harvard University,,,1.0
38,1911.0,Richard Powers,Richard,Powers,male,1,no mfa,winner,American Academy of Arts and Letters,Rosenthal Family Foundation Award,1986.0,prose,book,10000.0,,,,1.0
39,810.0,Gerald Stern,Gerald,Stern,male,1,no mfa,winner,National Book Foundation,National Book Award,1998.0,poetry,book,10000.0,Columbia University,,,1.0
40,1918.0,Richard Wilbur,Richard,Wilbur,male,1,no mfa,winner,National Book Foundation,National Book Award,1957.0,poetry,book,10000.0,Harvard University,,,1.0
41,1918.0,Richard Wilbur,Richard,Wilbur,male,1,no mfa,winner,Columbia University,Pulitzer Prize,1957.0,poetry,book,15000.0,Harvard University,,,1.0
42,1846.0,Philip Williams,Philip,Williams,male,1,Washington University,winner,Claremont Graduate University,Kate Tufts Discovery Award ,2017.0,poetry,book,10000.0,,,,1.0
43,2127.0,Stanley Fish,Stanley,Fish,male,1,no mfa,winner,PEN America,Diamonstein-Spielvogel Award for the Art of the Essay,1994.0,prose,book,15000.0,University of Pennsylvania, Yale University,,1.0
44,2267.0,Tommy Orange,Tommy,Orange ,male,1,Institute of American Indian Arts,winner,Center for Fiction,First Novel Prize,2018.0,prose,book,15000.0,,,,1.0
45,2267.0,Tommy Orange,Tommy,Orange ,male,1,Institute of American Indian Arts,winner,PEN America,Hemingway Award for Debut Novel,2019.0,prose,book,10000.0,,,,1.0
46,2267.0,Tommy Orange,Tommy,Orange ,male,1,Institute of American Indian Arts,winner,American Academy of Arts and Letters,Rosenthal Family Foundation Award,2019.0,prose,book,10000.0,,,,1.0
47,1227.0,Joshua Ferris,Joshua,Ferris,male,1,"Univeristy of California, Irvine",winner,PEN America,Hemingway Award for Debut Novel,2008.0,prose,book,10000.0,,,,1.0
48,915.0,Ian Buruma,Ian,Buruma,male,0,no mfa,winner,PEN America,Diamonstein-Spielvogel Award for the Art of the Essay,2015.0,prose,book,15000.0,,,,1.0
49,1316.0,Kevin Powers,Kevin,Powers,male,1,"University of Texas, Austin",winner,PEN America,Hemingway Award for Debut Novel,2013.0,prose,book,10000.0,,,,1.0
50,994.0,James Tate,James,Tate,male,1,University of Iowa,winner,National Book Foundation,National Book Award,1994.0,poetry,book,10000.0,,,,1.0
51,362.0,Charles Simic,Charles,Simic,male,0,no mfa,winner,Columbia University,Pulitzer Prize,1990.0,poetry,book,15000.0,,,,1.0
52,1142.0,John Irving,John,Irving,male,1,University of Iowa,winner,National Book Foundation,National Book Award,1980.0,prose,book,10000.0,,,,1.0
53,302.0,C. K. Williams,C. K.,Williams,male,0,no mfa,winner,Columbia University,Pulitzer Prize,2000.0,poetry,book,15000.0,University of Pennsylvania,,,1.0
54,1869.0,Randall Jarrell,Randall,Jarrell,male,1,no mfa,winner,National Book Foundation,National Book Award,1961.0,poetry,book,10000.0,,,,1.0
55,1.0,A. B. Guthrie Jr,A. B.,Guthrie Jr,male,0,no mfa,winner,Columbia University,Pulitzer Prize,1950.0,prose,book,15000.0,,,,1.0
