,person_id,full_name,gender,graduate_degree,mfa_degree,award,prize_amount
185,269.0,Bradford Morrow,male,1,no mfa,1.0,10000.0
186,270.0,Brando Skyhorse,male,1,"Univeristy of California, Irvine",1.0,10000.0
187,271.0,Brandon Som,male,1,University of Pittsburgh,1.0,10000.0
188,273.0,Brenda Hillman,female,1,University of Iowa,2.0,35000.0
189,274.0,Brenda Shaughnessy,female,1,Columbia University,1.0,10000.0
190,275.0,Brenda Wineapple,female,1,no mfa,1.0,10000.0
191,276.0,Brendan Galvin,male,1,"University of Massachusetts, Amherst",1.0,10000.0
192,277.0,Brendan Gill,male,0,no mfa,1.0,10000.0
193,278.0,Brett Ellen Block,female,1,University of Iowa,1.0,15000.0
194,279.0,Brewster Ghiselin,male,1,no mfa,1.0,10000.0
195,280.0,Brian Blanchfield,male,1,Warren Wilson College,1.0,50000.0
196,281.0,Brian Doyle,male,0,no mfa,1.0,10000.0
197,284.0,Brian Kiteley,male,1,City College of New York,1.0,50000.0
198,285.0,Brian Moore,male,0,no mfa,1.0,10000.0
199,286.0,Brian Morton,male,0,no mfa,1.0,10000.0
200,287.0,Brian Turner,male,1,University of Oregon,2.0,100000.0
201,288.0,Brighde Mullins,female,1,"University of Iowa, Yale University",2.0,100000.0
202,289.0,Brigid Pasulka,female,1,no mfa,1.0,10000.0
203,290.0,Brigit Pegeen Kelly,female,0,no mfa,2.0,75000.0
204,291.0,Brontez Purnell,male,0,no mfa,1.0,50000.0
205,292.0,Brooklyn Copeland,female,0,no mfa,1.0,25800.0
206,293.0,Bruce Chatwin,male,0,no mfa,1.0,10000.0
207,294.0,Bruce Duffy,male,0,no mfa,1.0,50000.0
208,295.0,Bruce Norris,male,0,no mfa,2.0,60000.0
209,296.0,Bruce Smith,male,1,no mfa,1.0,10000.0
210,297.0,Bruce Weigl,male,1,no mfa,1.0,150000.0
211,299.0,Burton Watson,male,1,no mfa,1.0,10000.0
212,300.0,C. D. Wright,female,1,University of Arkansas,4.0,725000.0
213,301.0,C. E. Morgan,female,1,no mfa,5.0,365000.0
214,302.0,C. K. Williams,male,0,no mfa,5.0,145000.0
215,304.0,C. Vann Woodward,male,1,no mfa,1.0,10000.0
216,305.0,Caitriona Lally,female,0,no mfa,1.0,50000.0
217,306.0,Caki Wilkinson,female,1,Johns Hopkins University,1.0,25800.0
218,308.0,Campbell McGrath,male,1,Columbia University,3.0,775000.0
219,309.0,Carl Dennis,male,1,no mfa,2.0,115000.0
220,310.0,Carl Phillips,male,1,no mfa,3.0,135000.0
221,311.0,Carl Sandburg,male,0,no mfa,2.0,30000.0
222,313.0,Carlo Rotella,male,1,no mfa,1.0,50000.0
223,315.0,Carmen Giménez-Smith,female,1,University of Iowa,1.0,25000.0
224,316.0,Carol Ann Duffy,female,0,no mfa,2.0,160000.0
225,317.0,Carol Brightman,female,1,no mfa,1.0,10000.0
226,320.0,Carol Shields,female,1,no mfa,1.0,15000.0
227,321.0,Carole Maso,female,0,no mfa,1.0,150000.0
228,323.0,Caroline Gordon,female,0,no mfa,1.0,10000.0
229,324.0,Caroline Kim,female,1,University of Michigan,1.0,15000.0
230,325.0,Caroline Miller,female,0,no mfa,1.0,15000.0
231,326.0,Carolyn Cooke,female,1,Columbia University,1.0,25000.0
232,327.0,Carolyn Forché,female,1,Bowling Green State University,3.0,340000.0
233,328.0,Carolyn Kizer,female,1,no mfa,2.0,25000.0
234,330.0,Carson McCullers,female,0,no mfa,1.0,10000.0
235,331.0,Caryl Phillips,male,0,no mfa,1.0,150000.0
236,332.0,Cate Marvin,female,1,University of Iowa,2.0,60000.0
237,334.0,Catherine Barnett,female,1,Warren Wilson College,1.0,50000.0
238,335.0,Catherine Bowman,female,1,Columbia University,1.0,10000.0
239,336.0,Catherine Lacey,female,1,Columbia University,1.0,50000.0
240,339.0,Cathy Wagner,female,1,University of Iowa,1.0,15000.0
241,340.0,Cathypark Hong,female,1,University of Iowa,1.0,165000.0
242,341.0,Cecilia Vicuña,female,0,no mfa,1.0,50000.0
243,342.0,Chang-Rae Lee,male,1,University of Oregon,1.0,10000.0
244,344.0,Charles Baxter,male,1,no mfa,2.0,35000.0
245,345.0,Charles Bernstein,male,0,no mfa,1.0,10000.0
246,347.0,Charles Bowden,male,1,no mfa,1.0,50000.0
247,348.0,Charles D'Ambrosio,male,1,University of Iowa,4.0,160000.0
248,349.0,Charles Edward Eaton,male,1,no mfa,1.0,10000.0
249,350.0,Charles Frazier,male,1,no mfa,1.0,10000.0
250,351.0,Charles Gordone,male,0,no mfa,1.0,10000.0
251,352.0,Charles Harper Webb,male,1,University of Washington,2.0,60000.0
252,353.0,Charles Jackson,male,0,no mfa,1.0,10000.0
253,354.0,Charles Johnson,male,1,no mfa,2.0,20000.0
254,355.0,Charles Martin,male,1,no mfa,1.0,10000.0
255,357.0,Charles Newman,male,0,no mfa,1.0,10000.0
256,358.0,Charles Reznikoff,male,0,no mfa,1.0,10000.0
257,360.0,Charles Rosen,male,1,no mfa,1.0,10000.0
258,362.0,Charles Simic,male,0,no mfa,8.0,745000.0
259,363.0,Charles Wilson,male,0,no mfa,1.0,10000.0
